"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"13-09-2018";"";"Schiphol Airport";"01:32";"Den Haag HS";"5,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-09-2018";"";"Den Haag Centraal";"11:42";"Delft Zuid";"1,60";"Check-uit";"";"Dal Voordeel (2e klas)";""
"16-09-2018";"";"Delft";"16:31";"Amsterdam Centraal";"7,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"17-09-2018";"";"Amsterdam Centraal";"01:30";"Den Haag HS";"7,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"17-09-2018";"";"Den Haag Centraal";"14:32";"Schiphol Airport";"5,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
