Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Product
02-12-2016,20:41,Den Haag Centraal,21:02,Delft Zuid,"1,60",Dal Voordeel (2e klas)
03-12-2016,11:28,Delft Zuid,11:58,Den Haag Centraal,"1,60",Dal Voordeel (2e klas)
04-12-2016,10:50,Amsterdam Zuid,12:10,Den Haag Centraal,"6,10",Dal Voordeel (2e klas)
06-12-2016,15:55,Den Haag Centraal,16:44,Schiphol Airport,"5,00",Dal Voordeel (2e klas)
