Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Product
08-08-2016,14:08,Schiphol Airport,15:00,Den Haag Centraal,"5,00",Dal Voordeel (2e klas)
14-08-2016,17:10,Schiphol Airport,17:47,Den Haag Centraal,"5,00",Dal Voordeel (2e klas)
17-08-2016,06:35,Den Haag Centraal,07:21,Schiphol Airport,"8,30",Dal Voordeel (2e klas)
17-08-2016,07:21,Schiphol Airport,07:56,Den Haag Centraal,"7,10",Dal Voordeel (2e klas)
20-08-2016,16:10,Den Haag Centraal,16:48,Schiphol Airport,"5,00",Dal Voordeel (2e klas)
