"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"04-12-2015";"15:57";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"04-12-2015";"";"Haag Centraal(Den)";"16:41";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"05-12-2015";"13:23";"Amsterdam Zuid";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"05-12-2015";"";"Amsterdam Zuid";"14:43";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"07-12-2015";"10:27";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"07-12-2015";"";"Haag Centraal(Den)";"11:02";"Schiphol";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"26-12-2015";"06:38";"Schiphol Airport";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"26-12-2015";"";"Schiphol Airport";"07:44";"Den Haag Centraal";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
