"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"02-04-2015";"";"Wageningen, Hoevestein";"09:01";"Ede, Bovenbuurtweg";"2,12";"Check-uit";"";"";""
"02-04-2015";"";"Ede-Wageningen";"10:22";"Haag Centraal(Den)";"10,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
"02-04-2015";"";"Den Haag, Centraal";"18:49";"Bsk Noordein";"6,24";"Check-uit";"";"";""
"03-04-2015";"";"Boskoop";"01:03";"Haag Centraal(Den)";"4,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"03-04-2015";"";"Haag Centraal(Den)";"14:21";"Utrecht Centraal";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-04-2015";"";"Utrecht Centraal";"23:38";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"07-04-2015";"";"Delft";"19:47";"Amsterdam Centraal";"7,60";"Check-uit";"";"Samenreiskorting (2e klas)";""
"07-04-2015";"";"Centraal Station";"20:13";"Corn. Schuytstraat";"1,46";"Check-uit";"";"";""
"07-04-2015";"";"Corn. Schuytstraat";"23:22";"Centraal Station";"1,46";"Check-uit";"";"";""
"08-04-2015";"";"Delft";"08:46";"Delft";"0,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
"09-04-2015";"";"Haag Centraal(Den)";"23:30";"Delft";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"13-04-2015";"";"Haag Centraal(Den)";"17:36";"Maastricht";"15,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"16-04-2015";"";"Maastricht";"17:38";"Haag Centraal(Den)";"15,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"17-04-2015";"";"Haag Centraal(Den)";"23:29";"Ede-Wageningen";"10,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
"22-04-2015";"";"Haag Centraal(Den)";"15:26";"Maastricht";"15,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"24-04-2015";"";"Maastricht";"13:37";"Haag Centraal(Den)";"15,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"24-04-2015";"";"Haag Centraal(Den)";"21:03";"Amsterdam Centraal";"6,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"24-04-2015";"";"Centraal Station";"21:19";"Van Baerlestraat";"1,36";"Check-uit";"";"";""
"27-04-2015";"";"Centraal Station";"20:00";"Station Zuid";"2,26";"Check-uit";"";"";""
"27-04-2015";"";"Corn. Schuytstraat";"23:45";"Heemstedestraat";"1,30";"Check-uit";"";"";""
"27-04-2015";"";"Heemstedestraat";"23:56";"Station Lelylaan";"0,09";"Check-uit";"";"";""
"28-04-2015";"";"Amsterdam Lelylaan";"00:27";"Amsterdam Lelylaan";"0,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
"28-04-2015";"";"Delft";"09:18";"Haag Centraal(Den)";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
