"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"01-09-2015";"10:19";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"01-09-2015";"";"Haag Centraal(Den)";"10:41";"Gouda";"3,30";"Check-uit";"";"Dal Voordeel (2e klas)";""
"01-09-2015";"10:50";"Gouda, Station";"";"";"";"Check-in";"";"";""
"01-09-2015";"";"Gouda, Station";"11:07";"Wad Coenec 2";"1,78";"Check-uit";"";"";""
"01-09-2015";"11:41";"Waddinxveen";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"01-09-2015";"";"Waddinxveen";"12:25";"Haag Centraal(Den)";"4,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"05-09-2015";"14:40";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"05-09-2015";"";"Haag Centraal(Den)";"15:37";"Amsterdam Centraal";"6,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-09-2015";"18:21";"Schiphol";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"06-09-2015";"";"Schiphol";"18:56";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"09-09-2015";"";"MCH Westeinde";"12:09";"Spui";"1,06";"Check-uit";"";"";""
"14-09-2015";"";"Haag Centraal(Den)";"13:07";"Alphen aan den Rijn";"3,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-09-2015";"";"Alphen a/d Rijn, Station";"13:33";"Nkp Halve Ro";"2,64";"Check-uit";"";"";""
"14-09-2015";"";"Nkp Halve Ro";"17:31";"Alphen a/d Rijn, Station";"2,63";"Check-uit";"";"";""
"14-09-2015";"";"Alphen aan den Rijn";"18:18";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"17-09-2015";"";"Haag Centraal(Den)";"16:43";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"17-09-2015";"";"Amsterdam Bijlmer ArenA";"22:15";"Haag Centraal(Den)";"6,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"18-09-2015";"";"Haag Centraal(Den)";"18:28";"Woerden";"8,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
"22-09-2015";"";"Haag Centraal(Den)";"13:11";"Delft";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-09-2015";"";"Woerden";"21:06";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"25-09-2015";"";"Haag Centraal(Den)";"16:44";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"27-09-2015";"";"Schiphol";"18:51";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
