"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"02-10-2015";"18:30";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"02-10-2015";"";"Haag Centraal(Den)";"19:19";"Haarlem";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"02-10-2015";"23:07";"Haarlem";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"02-10-2015";"";"Haarlem";"23:48";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"03-10-2015";"16:29";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"03-10-2015";"";"Haag Centraal(Den)";"17:04";"Schiphol";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"16-10-2015";"15:55";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"16-10-2015";"";"Haag Centraal(Den)";"16:42";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"18-10-2015";"16:25";"Amsterdam Zuid";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"18-10-2015";"";"Amsterdam Zuid";"17:25";"Haarlem";"3,60";"Check-uit";"";"Dal Voordeel (2e klas)";""
"18-10-2015";"";"Haarlem";"20:48";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-10-2015";"";"Centraal Station";"09:49";"Stuyvesantstraat";"1,10";"Check-uit";"";"";""
"25-10-2015";"";"Utrecht Centraal";"20:04";"Ede-Wageningen";"4,60";"Check-uit";"";"Dal Voordeel (2e klas)";""
"25-10-2015";"";"Ede, Station Ede-Wag./Noordzijde";"20:24";"Wageningen, Hoevestein";"2,01";"Check-uit";"";"";""
"26-10-2015";"";"Wageningen, Hoevestein";"12:14";"Ede, Station Ede-Wag./Noordzijde";"2,02";"Check-uit";"";"";""
"26-10-2015";"";"Ede-Wageningen";"13:38";"Haag Centraal(Den)";"10,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
