"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"05-11-2015";"15:58";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"05-11-2015";"";"Haag Centraal(Den)";"16:48";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"05-11-2015";"21:18";"Station Bijlmer ArenA";"";"";"";"Check-in";"";"";""
"05-11-2015";"";"Station Bijlmer ArenA";"21:35";"Wibautstraat";"1,68";"Check-uit";"";"";""
"05-11-2015";"23:29";"Wibautstraat";"";"";"";"Check-in";"";"";""
"05-11-2015";"";"Wibautstraat";"23:41";"Station Zuid";"1,82";"Check-uit";"";"";""
"08-11-2015";"17:46";"Amsterdam Zuid";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"08-11-2015";"";"Amsterdam Zuid";"18:29";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-11-2015";"16:28";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"14-11-2015";"";"Haag Centraal(Den)";"17:07";"Alphen aan den Rijn";"3,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-11-2015";"";"Alphen a/d Rijn, Station";"17:39";"Nkp Kennedyl";"2,73";"Check-uit";"";"";""
"14-11-2015";"";"Woerden";"22:30";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"18-11-2015";"";"Haag Centraal(Den)";"16:39";"Haarlem";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"18-11-2015";"";"Haarlem";"22:27";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"21-11-2015";"";"Haag Centraal(Den)";"17:10";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-11-2015";"";"Amsterdam Zuid";"13:00";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
