"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"14-07-2015";"23:10";"Schiphol";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"14-07-2015";"";"Schiphol";"23:47";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-07-2015";"12:32";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"15-07-2015";"";"Haag Centraal(Den)";"13:11";"Haarlem";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-07-2015";"15:31";"Haarlem";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"15-07-2015";"";"Haarlem";"16:16";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"20-07-2015";"08:29";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"20-07-2015";"";"Haag Centraal(Den)";"09:15";"Amsterdam Zuid";"9,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"24-07-2015";"17:19";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"24-07-2015";"";"Haag Centraal(Den)";"18:03";"Utrecht Centraal";"10,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"24-07-2015";"";"Utrecht Centraal";"23:38";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
