Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Product
28-06-2016,13:43,Schiphol Airport,14:46,Den Haag Centraal,"5,00",Dal Voordeel (2e klas)
30-06-2016,17:23,Den Haag Centraal,18:11,Woerden,"8,30",Dal Voordeel (2e klas)
30-06-2016,20:56,Woerden,21:41,Den Haag Centraal,"5,00",Dal Voordeel (2e klas)
