"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"07-08-2018";"";"Den Haag Centraal";"14:11";"Amsterdam Zuid";"6,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
"07-08-2018";"";"Amsterdam Zuid";"23:26";"Den Haag Centraal";"6,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-08-2018";"";"Den Haag Centraal";"19:35";"Amsterdam Bijlmer ArenA";"6,80";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-08-2018";"";"Amsterdam Bijlmer ArenA";"00:05";"Den Haag Centraal";"6,80";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-08-2018";"";"Den Haag Centraal";"10:32";"Schiphol Airport";"5,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
