"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"27-03-2015";"21:20";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"27-03-2015";"";"Haag Centraal(Den)";"22:11";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"28-03-2015";"11:53";"Corn. Schuytstraat";"";"";"";"Check-in";"";"";""
"28-03-2015";"";"Corn. Schuytstraat";"11:56";"Amstelveenseweg";"1,05";"Check-uit";"";"";""
"28-03-2015";"12:05";"Zeilstraat";"";"";"";"Check-in";"";"";""
"28-03-2015";"";"Zeilstraat";"12:14";"Corantijnstraat";"0,28";"Check-uit";"";"";""
"30-03-2015";"09:20";"Delft";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"30-03-2015";"";"Delft";"09:37";"Haag Centraal(Den)";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"31-03-2015";"15:52";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"31-03-2015";"";"Haag Centraal(Den)";"17:23";"Amersfoort";"8,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"31-03-2015";"";"Amersfoort, Station Amersfoort";"18:26";"Ede, Station Ede-Wageningen";"6,53";"Check-uit";"";"Dal Voordeel (2e klas)";""
"31-03-2015";"";"Ede, Station Ede-Wag./Zuidzijde";"18:52";"Wageningen, Hoevestein";"1,92";"Check-uit";"";"";""
