"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"03-05-2015";"15:06";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"03-05-2015";"";"Haag Centraal(Den)";"15:49";"Utrecht Centraal";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"03-05-2015";"15:57";"Utrecht, CS Centrumzijde";"";"";"";"Check-in";"";"";""
"03-05-2015";"";"Utrecht, CS Centrumzijde";"16:18";"De Meern, De Meern Oost";"1,72";"Check-uit";"";"";""
"03-05-2015";"16:23";"De Meern, De Meern Oost";"";"";"";"Check-in";"";"";""
"03-05-2015";"";"De Meern, De Meern Oost";"17:11";"Utrecht, P+R De Uithof";"1,85";"Check-uit";"";"";""
"03-05-2015";"19:23";"Utrecht, AZU";"";"";"";"Check-in";"";"";""
"03-05-2015";"";"Utrecht, AZU";"19:42";"Utrecht, CS Centrumzijde";"1,69";"Check-uit";"";"";""
"03-05-2015";"19:42";"Utrecht Centraal";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"03-05-2015";"";"Utrecht Centraal";"20:36";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-05-2015";"";"Haag Centraal(Den)";"14:02";"Delft Zuid";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-05-2015";"";"Delft Zuid";"14:46";"Haag Centraal(Den)";"0,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-05-2015";"";"Haag Centraal(Den)";"18:19";"Utrecht Centraal";"10,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"06-05-2015";"";"Utrecht, CS Centrumzijde";"18:53";"Utrecht, AZU";"1,70";"Check-uit";"";"";""
"06-05-2015";"";"Utrecht, AZU";"20:46";"Utrecht, CS Centrumzijde";"1,69";"Check-uit";"";"";""
"06-05-2015";"";"Utrecht Centraal";"21:38";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"07-05-2015";"";"Haag Centraal(Den)";"15:59";"Schiphol";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-05-2015";"";"Schiphol";"11:57";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-05-2015";"";"Amsterdam Zuid";"14:29";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-05-2015";"";"Haag Centraal(Den)";"17:37";"Maastricht";"9,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"23-05-2015";"";"Maastricht, Koningsplein";"20:38";"Maastricht,  Sint Annalaan";"1,65";"Check-uit";"";"";""
"23-05-2015";"";"Maastricht, Via Regia / St.Annadal";"23:25";"Maastricht, Station Perron A";"1,43";"Check-uit";"";"";""
"28-05-2015";"";"Aachen, Theater";"18:44";"Maastricht, Av.Ceramique/Sphinxlun";"6,22";"Check-uit";"";"";""
"29-05-2015";"";"Maastricht";"14:08";"Haag Centraal(Den)";"15,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"29-05-2015";"";"Haag Centraal(Den)";"21:43";"Schiphol";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
