"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"15-07-2018";"";"Den Haag Centraal";"14:08";"Amsterdam Lelylaan";"6,30";"Check-uit";"";"Dal Voordeel (2e klas)";""
"15-07-2018";"";"Amsterdam Lelylaan";"22:41";"Den Haag Centraal";"6,30";"Check-uit";"";"Dal Voordeel (2e klas)";""
"19-07-2018";"";"Den Haag Centraal";"19:02";"Schiphol Airport";"5,10";"Check-uit";"";"Dal Voordeel (2e klas)";""
"22-07-2018";"";"Den Haag Laan Van NOI";"18:23";"Den Haag Centraal";"1,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"30-07-2018";"";"Amsterdam Zuid";"00:26";"Den Haag Centraal";"6,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
