Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Product
16-11-2016,11:15,Schiphol Airport,11:56,Den Haag Centraal,"5,00",Dal Voordeel (2e klas)
19-11-2016,17:01,Den Haag Centraal,17:40,Amsterdam Zuid,"6,10",Dal Voordeel (2e klas)
19-11-2016,17:44,Station Zuid,17:53,Van Baerlestraat,"1,25",
20-11-2016,17:19,Amsterdam Zuid,18:10,Den Haag Centraal,"6,10",Dal Voordeel (2e klas)
23-11-2016,17:40,Den Haag Centraal,18:03,Delft Zuid,"2,70",Dal Voordeel (2e klas)
23-11-2016,23:54,Delft Zuid,00:16,Den Haag Centraal,"1,60",Dal Voordeel (2e klas)
25-11-2016,19:19,Den Haag Centraal,19:47,Rotterdam Centraal,"2,90",Dal Voordeel (2e klas)
26-11-2016,22:31,Rotterdam Centraal,23:22,Den Haag Centraal,"2,90",Dal Voordeel (2e klas)
